Group,W,p,n,Median_Diff_Lab_minus_Game,CI95_Low,CI95_High,Lab_Median,Game_Median
Single,0.0,0.0,21,-776.7,-897.7,-616.8,1540.3,2303.4
Multiple,34.0,0.0833,16,-231.2,-511.1,38.5,1520.6,1721.1
