Modality,U,p,rank_biserial_r,Single_n,Multiple_n,Single_Median,Multiple_Median,Single_Mean,Multiple_Mean
Lab,164.0,0.9146,0.024,21,16,1540.3,1520.6,1565.4,1605.0
Game,268.0,0.0023,-0.595,21,16,2303.4,1721.1,2324.7,1847.1
