Modality,t,p,Cohen_d,Single_M,Single_SD,Multiple_M,Multiple_SD
Lab,-0.462,0.6471,-0.157,1565.4,236.5,1605.0,273.6
Game,2.986,0.0057,1.014,2324.7,435.9,1847.1,514.4
