Source,SS,DF1,DF2,MS,F,p_unc,np2,eps
group,870917.2358845613,1,35,870917.2358845613,4.779504062002741,0.035576809316111964,0.1201499157594604,
modality,5308358.227693694,1,35,5308358.227693694,51.13169193548954,2.4443761544463035e-08,0.593645507089143,1.0
Interaction,1214664.574196782,1,35,1214664.574196782,11.700011971453977,0.0016048468036990353,0.2505355240295392,
