Source,SS,DF1,DF2,MS,F,p_unc,np2,eps
group,14.530978306681767,1,34,14.530978306681767,8.462293192026898,0.006349079664788977,0.1992895945058345,
modality,11.624782645345459,1,34,11.624782645345459,6.769834553621616,0.013633093407193307,0.1660500864853337,1.0
Interaction,14.530978306682101,1,34,14.530978306682101,8.462293192027182,0.0063490796647881894,0.19928959450583986,
