Modality,U,p,rank_biserial_r,Single_n,Multiple_n,Single_Median,Multiple_Median,Single_Mean,Multiple_Mean
Lab,148.0,0.7143,0.075,20,16,1525.5,1520.6,1527.1,1605.0
Game,268.0,0.0023,-0.595,21,16,2303.4,1721.1,2324.7,1847.1
