Source,SS,DF1,DF2,MS,F,p_unc,np2,eps
group,521376.81791051663,1,34,521376.81791051663,3.9708639516069972,0.0543706391491991,0.10457660264638101,
modality,4848030.584767202,1,34,4848030.584767202,46.31569127943672,7.899723337766458e-08,0.5766705178231463,1.0
Interaction,1103824.5778084286,1,34,1103824.5778084286,10.545395182337677,0.0026211920229072786,0.23673367671725007,
