Group,W,p,n,Median_Diff_Lab_minus_Game,CI95_Low,CI95_High,Lab_Median,Game_Median
Single,0.0,0.0,20,-761.9,-885.5,-592.2,1525.5,2250.0
Multiple,34.0,0.0833,16,-231.2,-511.1,38.5,1520.6,1721.1
